area_type,availability,location,BHK,society,total_sqft,bath,balcony,price,latitude,longitude,price_per_sqft,dist_to_center_km,location_encoded
Super built-up  Area,19-Dec,electronic city phase ii,2.0,Coomee ,1056.0,2,1,39.07,12.8463512,77.6690975,3699.810606060606,16.05187259186422,256
Plot  Area,Ready To Move,chikka tirupathi,4.0,Theanmp,2600.0,5,3,120.0,12.8957681,77.8671014,4615.384615384615,29.98011729230503,182
Built-up  Area,Ready To Move,uttarahalli,3.0,Prestige Shantiniketan,1440.0,2,3,62.0,12.9055682,77.5455438,4305.555555555556,10.025399826859365,748
Super built-up  Area,Ready To Move,lingadheeranahalli,3.0,Soiewre,1521.0,3,1,95.0,13.0026688,77.4915418,6245.890861275477,12.470574404130064,487
Super built-up  Area,Ready To Move,kothanur,2.0,Prestige Shantiniketan,1200.0,2,1,51.0,13.0613601,77.6493895,4250.0,10.655945836094778,459
Super built-up  Area,Ready To Move,whitefield,2.0,DuenaTa,1170.0,2,1,38.0,12.9963995,77.7614229,3247.863247863248,17.298373199811177,792
Super built-up  Area,Ready To Move,marathahalli,3.0,Prestige Shantiniketan,1310.0,3,1,63.25,12.9552572,77.6984163,4828.244274809161,10.579390364599004,513
Super built-up  Area,18-Feb,whitefield,3.0,Prestige Shantiniketan,1800.0,2,2,70.0,12.9963995,77.7614229,3888.8888888888887,17.298373199811177,792
Plot  Area,Ready To Move,whitefield,4.0,Prrry M,2785.0,5,3,295.0,12.9963995,77.7614229,10592.45960502693,17.298373199811177,792
Super built-up  Area,Ready To Move,7th phase jp nagar,2.0,Shncyes,1000.0,2,1,38.0,12.9119693,77.5882043,3800.0,7.302975983380769,33
Built-up  Area,Ready To Move,gottigere,2.0,Prestige Shantiniketan,1100.0,2,2,40.0,12.8565317,77.5877237,3636.3636363636365,13.357328311477676,287
Plot  Area,Ready To Move,sarjapur,3.0,Skityer,2250.0,3,2,148.0,12.9116225,77.6388622,6577.777777777777,8.129478301094458,652
Super built-up  Area,Ready To Move,mysore road,2.0,PrntaEn,1175.0,2,2,73.5,12.9467026,77.5300705,6255.31914893617,8.593750582099863,533
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3.0,GrrvaGr,1540.0,3,3,60.0,12.932582,77.5162034,3896.103896103896,10.616098723136094,607
Super built-up  Area,Ready To Move,ramakrishnappa layout,3.0,PeBayle,2770.0,4,2,290.0,12.9778951,77.5164792,10469.314079422382,9.421248981129555,621
Super built-up  Area,Ready To Move,manayata tech park,2.0,Prestige Shantiniketan,1100.0,2,2,48.0,13.0455777,77.6266626,4363.636363636364,8.072391756399867,502
Built-up  Area,Ready To Move,kengeri,1.0,Prestige Shantiniketan,600.0,1,1,15.0,12.9176571,77.4837568,2500.0,14.503311175021313,440
Super built-up  Area,Ready To Move,bellandur,3.0,Prestige Shantiniketan,1767.0,3,1,103.0,12.9361208,77.6671843,5829.088851160159,8.234473398613268,131
Super built-up  Area,18-Nov,thanisandra,1.0,Bhe 2ko,510.0,1,0,25.25,13.054713,77.6339258,4950.980392156863,9.289278965405718,730
Super built-up  Area,18-May,mangammanapalya,3.0,Prestige Shantiniketan,1250.0,3,2,56.0,12.8998659,77.6393069,4480.0,9.314945652026697,503
